Roles,Games,# Players,# Minions,% Evil Win,STD-ERROR,ConInt95,Avg Days,Avg Days|Evil Win,Avg Days|Good Win;Roles;Games;# Players;# Minions;% Evil Win;STD-ERROR;ConInt95;Avg Days;Avg Days|Evil Win;Avg Days|Good Win
;"Demon;Assassin;Saint;Good;Good;Good;Good;Good";10000;8;1;0.4341;0.00496;(0.42439, 0.44381);2.651;3.08063;2.32143
;"Demon;Assassin;Saint;Outsider;Good;Good;Good;Good;Good";10000;9;1;0.4153;0.00493;(0.40564, 0.42496);2.9302;3.39441;2.60048
;"Demon;Assassin;Godfather;Saint;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.4531;0.00498;(0.44334, 0.46286);3.3894;3.93291;2.93911
;"Demon;Assassin;Godfather;Saint;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4631;0.00499;(0.45333, 0.47287);3.5947;4.14187;3.12274
;"Demon;Assassin;Godfather;DA;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5739;0.00495;(0.56421, 0.58359);4.7113;5.27792;3.94813
;"Demon;Assassin;Saint;PoppyGrower;Good;Good;Good;Good";10000;8;1;0.4316;0.00495;(0.42189, 0.44131);2.6535;3.08109;2.32882
;"Demon;Assassin;Saint;Outsider;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.3276;0.00469;(0.3184, 0.3368);3.1336;3.79701;2.81038
;"Demon;Assassin;Godfather;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3275;0.00469;(0.3183, 0.3367);3.6716;4.44275;3.29606
;"Demon;Assassin;Godfather;Saint;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3664;0.00482;(0.35696, 0.37584);3.8566;4.70115;3.36821
;"Demon;Assassin;Godfather;DA;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3441;0.00475;(0.33479, 0.35341);4.5697;5.7771;3.93627
;"Demon;Assassin;Saint;Klutz;Good;Good;Good;Good;Good";10000;9;1;0.4153;0.00493;(0.40564, 0.42496);2.9302;3.39441;2.60048
